"transactiondateutc","uniqueid","itinerary","first_element","last_element","onewayorreturn"
"2019-06-06 15:36:14.313000","285a2aa7-5788-e911-a821-8111ee911e19",CSX-CTU-TXL-AMS-PEK-CTU-AMS-TXL,CSX,TXL,Return
"2019-04-10 21:08:13.673000","5e5c1d97-bb5b-e911-a821-8111ee911e19",DXB-CHC-AMS-DXB-CHC-MEL-DXB-AMS,DXB,AMS,Return
"2019-06-07 22:03:10.810000","4ce639de-5689-e911-a821-8111ee911e19",DXB-CHC-AMS-DXB-CHC-MEL-DXB-AMS,DXB,AMS,Return
"2019-05-16 04:28:13.547000","0aa723dd-7977-e911-a821-8111ee911e19",DXB-HRE-DXB-EMA-EDI-DXB-EDI-EMA,DXB,EMA,Return
"2019-11-26 00:03:00.427000",f7d01af4-c60f-ea11-a822-e453a8e76766,EZE-IST-AMS-IST-GRU-EZE-IST-AMS,EZE,AMS,Return
"2019-05-28 22:47:59.780000","609add7b-8181-e911-a821-8111ee911e19",EZE-YYZ-TXL-EWR-EZE-YYZ-LHR-TXL,EZE,TXL,Return
"2019-04-09 00:02:33.173000","99ceb49b-415a-e911-a821-8111ee911e19",FNA-CDG-LHR-CDG-FNA-CDG-AMS-LHR,FNA,LHR,Return
"2019-08-23 20:00:53.280000",c507588c-c7c5-e911-a821-8111ee911e19,IAD-LAX-SYD-ZQN-CNS-BNE-LAX-DCA,IAD,DCA,Return
"2019-07-04 01:04:50.750000",e124d68d-de9d-e911-a821-8111ee911e19,LLW-NBO-LHR-AMS-NBO-LLW-NBO-LHR,LLW,LHR,Return
"2019-09-26 06:31:13.250000","2f355216-0ee0-e911-a822-e453a8e76766",LPB-IAD-SEA-FLL-BOG-LPB-IAD-SEA,LPB,SEA,Return
"2019-10-02 21:09:44.293000","0333a4cb-3fe5-e911-a822-e453a8e76766",MCT-ZRH-NCE-MUC-MCT-ZRH-MUC-NCE,MCT,NCE,Return
"2019-12-24 23:06:40.333000",eca63fe5-8826-ea11-a822-e453a8e76766,MNL-ADD-ABJ-ADD-SIN-MNL-ADD-ABJ,MNL,ABJ,Return
"2019-01-12 04:32:00.767000","3a1f95d7-0916-e911-a820-a7f2c9e35195",MST-AMS-MST-AMS-YYZ-YWG-YYZ-AMS,MST,AMS,Return
"2019-01-15 21:50:57.017000","6d0a187c-f618-e911-a820-a7f2c9e35195",NBO-DAR-BLZ-NBO-DAR-AMS-JNB-BLZ,NBO,BLZ,Return
"2019-07-08 10:18:09.810000",bcf87c86-50a1-e911-a821-8111ee911e19,NBO-DAR-NBO-ICN-BKK-NBO-BKK-ICN,NBO,ICN,Return
"2019-04-22 12:14:14.157000","57ea96fe-de64-e911-a821-8111ee911e19",NBO-HRE-LHR-NBO-HRE-NBO-CDG-LHR,NBO,LHR,Return
"2019-06-02 12:07:06.467000","04c8a2ca-1585-e911-a821-8111ee911e19",NBO-HRE-NBO-BOD-AMS-NBO-AMS-BOD,NBO,BOD,Return
"2019-12-24 18:17:29.630000",b728727e-6026-ea11-a822-e453a8e76766,NBO-ROB-NBO-DEL-BOM-NBO-BOM-DEL,NBO,DEL,Return
"2019-01-04 03:58:16.360000",f9046fcd-bb0f-e911-a820-a7f2c9e35195,NBO-ZRH-KEF-FRA-NBO-ZRH-FRA-KEF,NBO,KEF,Return
"2019-02-13 22:39:46.313000",bbe2ec1c-c72f-e911-a820-a7f2c9e35195,OGG-ATL-FRA-AMS-LAX-OGG-ATL-FRA,OGG,FRA,Return
"2019-10-03 11:54:49.297000",d7111a74-bbe5-e911-a822-e453a8e76766,PVG-SWA-MNL-PVG-SWA-SHA-PVG-MNL,PVG,MNL,Return
"2019-11-15 22:09:13.923000","39fe2465-db07-ea11-a822-e453a8e76766",QRH-BRU-QRH-BRU-PEK-WNZ-SZX-BRU,QRH,BRU,Return
"2019-12-23 03:43:13.143000",a644a42d-1d25-ea11-a822-e453a8e76766,SIN-LAX-SFO-SIN-DAC-SIN-LAX-SFO,SIN,SFO,Return
"2019-11-13 00:07:41.890000",a4855676-9005-ea11-a822-e453a8e76766,SJO-SCL-GUA-SJO-SCL-BOG-SJO-GUA,SJO,GUA,Return
"2019-10-12 15:59:14.000000",f6a69e14-f0ec-e911-a822-e453a8e76766,TPE-AKL-TPE-PRG-AMS-TPE-FRA-PRG,TPE,PRG,Return
